District,Seat,Constituency_title,Candidate_Name,Party
Hyderabad,Hyderabad-III,NA-227,Salahuddin son of Abdul Latif,Tehreek Labbaik pakistan
Hyderabad,Hyderabad-III,NA-227,Abdul Hameed Qarni Arain,Independent
Hyderabad,Hyderabad-III,NA-227,Abdul Rasheed Arain,Pak Sarzameen Party
Hyderabad,Hyderabad-III,NA-227,Ata-ul-Mustafa Jamil Rathore,Independent
Hyderabad,Hyderabad-III,NA-227,Ghulam Mohiuddin,All Pakistan Muslim League
Hyderabad,Hyderabad-III,NA-227,Karamat Ali Rajput,Mutthida Majlis -e- Amal Pakistan
Hyderabad,Hyderabad-III,NA-227,Q.Muhammad Hakam,Pakistan Tehreek-e-Insaf
Hyderabad,Hyderabad-III,NA-227,Muhammad Rashid Khan,Independent
Hyderabad,Hyderabad-III,NA-227,Muhammad Fareed Quershi,Independent
Tando Muhammad Khan,Tando Muhammad Khan-I,NA-228,Sumayya Abdul Qadir Nizammani,Mutthida Majlis -e- Amal Pakistan
Tando Muhammad Khan,Tando Muhammad Khan-I,NA-228,Syed Miran Muhammad Shah,Independent
Tando Muhammad Khan,Tando Muhammad Khan-I,NA-228,Syed Naveed Qamar,Pakistan Peoples Party Parliamentarians
Tando Muhammad Khan,Tando Muhammad Khan-I,NA-228,Abdul Jabbar Memon,Pakistan Tehreek-e-Insaf
Tando Muhammad Khan,Tando Muhammad Khan-I,NA-228,Ghulam Murtaza,Pakistan Peoples Party (Shaheed Bhutto)
Tando Muhammad Khan,Tando Muhammad Khan-I,NA-228,Kashaf-ul-Husain Shah,Independent
Tando Muhammad Khan,Tando Muhammad Khan-I,NA-228,Lal Bux,Independent
Tando Muhammad Khan,Tando Muhammad Khan-I,NA-228,Mir Ali Nawaz Talpur,Grand Democratic Alliance
Badin,Badin-1,NA-229,Ghulam Ali Nizamani,Independent
Badin,Badin-1,NA-229,Muhammad Ibrahim Kambooh,Pakistan Muslim League(N)
Badin,Badin-1,NA-229,Muhammad Hassam Mirza,Grand Democratic Alliance
Badin,Badin-1,NA-229,Muhammad Essa,Mutthida Majlis -e- Amal Pakistan
Badin,Badin-1,NA-229,Mir Raheel Talpur,Independent
Badin,Badin-1,NA-229,Mir Ghullam Shah,Independent
Badin,Badin-1,NA-229,Mir Ghullam Ali Talpur,Pakistan Peoples Party Parlimentarians
Badin,Badin-2,NA-230,Haji Rasool Bux Chandio,Pakistan Peoples Party Parlimentarians
Badin,Badin-2,NA-230,Sajjad Ali,Independent
Badin,Badin-2,NA-230,Fateh Muhammad,Mutthida Majlis-e-Amal Pakistan
Badin,Badin-2,NA-230,Fehmida Mirza,Grand Democratic Alliance
Badin,Badin-2,NA-230,Muhammad Hassam Mirza,Independent
Badin,Badin-2,NA-230,Mirza Saqlain Abbas Baig,Independent
Badin,Badin-2,NA-230,Mirza Ali Mehdi Baig,Independent
Sujawal,Sujawal,NA-231,Aftab Ali Khan,Independent
Sujawal,Sujawal,NA-231,Syed Ayaz Ali Shah Sheerazi,Pakistan Peoples Party Parlimentarians
Sujawal,Sujawal,NA-231,Syed Naseer Ahmed Shah Sheerazi,Independent
Sujawal,Sujawal,NA-231,Shafqat Hussain Shah Sheerazi,Independent
Sujawal,Sujawal,NA-231,Mumtaz Ali Shah,Independent
Sujawal,Sujawal,NA-231,Molvi Muhammad Saleh Alhdad,Mutthida Majlis-e-Amal Pakistan
Sujawal,Sujawal,NA-231,Ayesha Gulalai Wazir,Pakistan Tehreek-e-Insaf-Gulalai
Sujawal,Sujawal,NA-231,Abdul Rehman Mallah,Independent
Thatta,Thatta,NA-232,Arslan Bux Brohi,Pakistan Tehreek-e-Insaaf
Thatta,Thatta,NA-232,Habib ur Rehman,Independent
Thatta,Thatta,NA-232,Rabia,Independent
Thatta,Thatta,NA-232,Syed Pir Ghulam Rehmani Shah,Independent
Thatta,Thatta,NA-232,Shams un Nisa,Pakistan Peoples Party Parlimentarians
Thatta,Thatta,NA-232,Ghulam Abbas Attai,Pakistan Muslim League(N)
Thatta,Thatta,NA-232,Mumtaz Ali Memon,Independent
Jamshoro,Jamshoro,NA-233,Roshan Ali Buriro,Independent
Jamshoro,Jamshoro,NA-233,Saeed Ahmed Jat,Pakistan Justice & Democratic Party
Jamshoro,Jamshoro,NA-233,Sikandar Ali Rohoupoto,Pakistan Peoples Party Parlimentarians
Jamshoro,Jamshoro,NA-233,Sayed Jalal Mehmood,Sindh United Party
Jamshoro,Jamshoro,NA-233,Shuja Ahmed ,Independent
Jamshoro,Jamshoro,NA-233,Shahmeer Gopang,Mutthida Majlis-e-Amal Pakistan
Jamshoro,Jamshoro,NA-233,Abdul Rehman Memon,Independent
Jamshoro,Jamshoro,NA-233,Abdul Nabi Shah,Independent
Jamshoro,Jamshoro,NA-233,Ghulam Abbas Pirzada,Independent
Jamshoro,Jamshoro,NA-233,Kesso Mal Kheeal Das,Pakistan Muslim League(N)
Dadu,Dadu-1,NA-234,Hameeda Khatoon,Mutthida Majlis-e-Amal Pakistan
Dadu,Dadu-1,NA-234,Sayed Hyder Bux Shah,Independent
Dadu,Dadu-1,NA-234,Irfan Ali Leghari,Pakistan Peoples Party Parlimentarians
Dadu,Dadu-1,NA-234,Karim Ali Jatoi,Independent
Dadu,Dadu-1,NA-234,Liaquat Ali Jatoi,Pakistan Tehreek-e-Insaaf
Dadu,Dadu-1,NA-234,Mussarat,Independent
Dadu,Dadu-2,NA-235,Ahsan Ali Jatoi,Independent
Dadu,Dadu-2,NA-235,Ahmed Khan Lund,Pakistan Muslim League(N)
Dadu,Dadu-2,NA-235,Junaid Ahmed Khan,Independent
Dadu,Dadu-2,NA-235,Rafique Ahmed Jamali,Pakistan Peoples Party Parlimentarians
Dadu,Dadu-2,NA-235,Zubair Ahmed Jamali,Independent
Dadu,Dadu-2,NA-235,Saeed Ahmed Jamali,Independent
Dadu,Dadu-2,NA-235,Fatima,Mutthida Majlis-e-Amal Pakistan
Dadu,Dadu-2,NA-235,Karim Ali Jatoi,Pakistan Tehreek-e-Insaaf
Dadu,Dadu-2,NA-235,Muhammad Chana,Sindh United Party
Dadu,Dadu-2,NA-235,Meer Jan Muhammad Khan Panhwar,Independent
Malir,Malir-1,NA-236,Ashfaq Ahmed,Pak Sarzameen Party
Malir,Malir-1,NA-236,Afshan ,Tehreek Labbaik pakistan
Malir,Malir-1,NA-236,Pir Jan Muhammad,Independent
Malir,Malir-1,NA-236,Jam Abdul Karim Bijar,Pakistan Peoples Party Parlimentarians
Malir,Malir-1,NA-236,Khadim Hussain Shaikh,Independent
Malir,Malir-1,NA-236,Dewan Chand Chawla,Muttahida Qaumi Movement Pakistan
Malir,Malir-1,NA-236,Soomar,Mutthida Majlis-e-Amal Pakistan
Malir,Malir-1,NA-236,Syed Saleem Shah,Awami National Party
Malir,Malir-1,NA-236,Shahid Hussain,Independent
Malir,Malir-1,NA-236,Qadir Bux ,Pakistan Muslim League(N)
Malir,Malir-1,NA-236,Muhammad Islam,Independent
Malir,Malir-1,NA-236,Muhammad Nadeem,Grand Democratic Alliance
Malir,Malir-1,NA-236,Masroor Ali,Pakistan Tehreek-e-Insaaf
Malir,Malir-1,NA-236,Mushtaq Ahmed Ishtiaq Dhool,Jannat Pakistan Party
Malir,Malir-2,NA-237,Afaq Jamal,Pak Sarzameen Party
Malir,Malir-2,NA-237,Baber Hakeem Baloch,Independent
Malir,Malir-2,NA-237,Jamil Ahmed Khan,Pakistan Tehreek-e-Insaaf
Malir,Malir-2,NA-237,Dr. Nadeem Maqbool,Muttahida Qaumi Movement Pakistan
Malir,Malir-2,NA-237,Rahman dino Mahesar,Independent
Malir,Malir-2,NA-237,Zain-ul-Abdin Ansari,Pakistan Muslim League(N)
Malir,Malir-2,NA-237,Salman Ahmed ,Mohajir Qaumi Movement Pakistan
Malir,Malir-2,NA-237,Syed Zahid Abbas Naqvi,Pakistan People Party (Shaheed Bhutto)
Malir,Malir-2,NA-237,Abdul Hakeem Baloch,Pakistan Peoples Party Parlimentarians
Malir,Malir-2,NA-237,Abdul Ghafoor,Independent
Malir,Malir-2,NA-237,Aziz Muhammad,Awami National Party
Malir,Malir-2,NA-237,Faheem Ahmed,Tehreek Labbaik pakistan
Malir,Malir-2,NA-237,Muhammad Islam,Mutthida Majlis-e-Amal Pakistan
Malir,Malir-2,NA-237,Muhammad Shoaib,Pakistan Rah-e-Haq Party
Malir,Malir-2,NA-237,Muhammad Mureed,Independent
Malir,Malir-2,NA-237,Manzoor Ali,Grand Democratic Alliance
Malir,Malir-3,NA-238,Akbar Khan,Independent
Malir,Malir-3,NA-238,Ikramullah,Grand Democratic Alliance
Malir,Malir-3,NA-238,Hazif Aurangzaib,Pakistan Rah-e-Haq Party
Malir,Malir-3,NA-238,Khursheed Ali,Tehreek -e-Suba Hazara Pakistan
Malir,Malir-3,NA-238,Rao Muhammad Zubair,Pak Sarzameen Party
Malir,Malir-3,NA-238,Zunaira Rehman,Pakistan Tehreek-e-Insaaf
Malir,Malir-3,NA-238,Zain Ul Abidin,Pasban Pakistan
Malir,Malir-3,NA-238,Syed Imdad Hussain Shah,Independent
Malir,Malir-3,NA-238,Syed Rafiullah,Pakistan Peoples Party Parlimentarians
Malir,Malir-3,NA-238,Syed Shah Muhammad Shah,Pakistan Muslim League(N)
Malir,Malir-3,NA-238,Shahi Syed ,Awami National Party
Malir,Malir-3,NA-238,Inayatullah,Independent
Malir,Malir-3,NA-238,Shulam Farooq,Independent
Malir,Malir-3,NA-238,Gul Faraz Khan,Muttahida Qaumi Movement Pakistan
Malir,Malir-3,NA-238,Muhammad Islam,Mutthida Majlis-e-Amal Pakistan
Malir,Malir-3,NA-238,Muhammad Pervez,Independent
Malir,Malir-3,NA-238,Muhammad Rafi,Independent
Malir,Malir-3,NA-238,Muhammad Wali Shah,Grand Democratic Alliance
Malir,Malir-3,NA-238,Nazir Ahmed,Independent
Malir,Malir-3,NA-238,Nawaz Ali Jatt,Pakistan Justice & Democratic Party
Korangi,Korangi Karachi-1,NA-239,Iqbal Ahmed,Independent
Korangi,Korangi Karachi-1,NA-239,Bilal Hussain,Independent
Korangi,Korangi Karachi-1,NA-239,Rasheed Siddiqui,All Pakistan Muslim League
Korangi,Korangi Karachi-1,NA-239,Sajid Ahmed ,Independent
Korangi,Korangi Karachi-1,NA-239,Sohail Mansoor Khawaja,Muttahida Qaumi Movement Pakistan
Korangi,Korangi Karachi-1,NA-239,Syed Zaman Ali Jafari,Tehreek Labbaik pakistan
Korangi,Korangi Karachi-1,NA-239,Syed Imran Haider Abdi,Pakistan Peoples Party Parlimentarians
Korangi,Korangi Karachi-1,NA-239,Syed Masroor Alam,Jamiat Ulama-e-Pakistan (Noorani)
Korangi,Korangi Karachi-1,NA-239,Syed Nadeem Razi,Pak Sarzameen Party
Korangi,Korangi Karachi-1,NA-239,Shahan Ul Quraish,Aman Taraqqi Party
Korangi,Korangi Karachi-1,NA-239,Shaukat Ali,Independent
Korangi,Korangi Karachi-1,NA-239,Shahzad Khan,Independent
Korangi,Korangi Karachi-1,NA-239,Qazi Saleem Haider,Independent
Korangi,Korangi Karachi-1,NA-239,Muhammad Ehsan,Pakistan Muslim League(N)
Korangi,Korangi Karachi-1,NA-239,Muhammad Akram,Pakistan Tehreek-e-Insaaf
Korangi,Korangi Karachi-1,NA-239,Muhammad Haleem Khan Ghouri,Mutthida Majlis-e-Amal Pakistan
Korangi,Korangi Karachi-1,NA-239,Muhammad Tariq,Independent
Korangi,Korangi Karachi-1,NA-239,Muhammad Abdul Aleem Qadri,Independent
Korangi,Korangi Karachi-1,NA-239,Muhammad Naim,Mohajir Qaumi Movement Pakistan
Korangi,Korangi Karachi-2,NA-240,Iqbal Muhammad Ali Khan,Muttahida Qaumi Movement Pakistan
Korangi,Korangi Karachi-2,NA-240,Afaq Shafqat,Mohajir Qaumi Movement Pakistan
Korangi,Korangi Karachi-2,NA-240,Syed Asif Hasnain,Pak Sarzameen Party
Korangi,Korangi Karachi-2,NA-240,Shah-Jahan,Independent
Korangi,Korangi Karachi-2,NA-240,Abdul Jameel Khan,Mutthida Majlis-e-Amal Pakistan
Korangi,Korangi Karachi-2,NA-240,Abdul Ghafoor,Pakistan Muslim Alliance
Korangi,Korangi Karachi-2,NA-240,Farrukh Manzoor,Pakistan Tehreek-e-Insaaf
Korangi,Korangi Karachi-2,NA-240,Muhammad Iqbal Qureshi,Independent
Korangi,Korangi Karachi-2,NA-240,Muhammad Asif,Tehreek Labbaik Pakistan
Korangi,Korangi Karachi-2,NA-240,Muhammad Zahid,Independent
Korangi,Korangi Karachi-2,NA-240,Muhammad Usman,Pakistan Muslim League (Sher-e-Bangal)
Korangi,Korangi Karachi-2,NA-240,Muhamamd Irfan Waheed,Independent
Korangi,Korangi Karachi-2,NA-240,Muhammad Ghazanfar,Independent
Korangi,Korangi Karachi-2,NA-240,Muhammad Feroze,Pakistan Peoples Party Parlimentarians
Korangi,Korangi Karachi-2,NA-240,Mehmood Qureshi,Independent
Korangi,Korangi Karachi-2,NA-240,Noori Mian,Pakistan Sunni Tehreek
Korangi,Korangi Karachi-3,NA-241,Javed Zaman,Awami National Party
Korangi,Korangi Karachi-3,NA-241,Sabir Hussain Khan,Independent
Korangi,Korangi Karachi-3,NA-241,Tahir Iqbal,Tehreek Labbaik pakistan
Korangi,Korangi Karachi-3,NA-241,Taib Zar Khan,Pakistan Muslim League(N)
Korangi,Korangi Karachi-3,NA-241,Abdul Bari Hashmi,Independent
Korangi,Korangi Karachi-3,NA-241,Abdul Hafiz,Independent
Korangi,Korangi Karachi-3,NA-241,Faheem Khan,Pakistan Tehreek-e-Insaaf
Korangi,Korangi Karachi-3,NA-241,Farrukh Jabbar,All Pakistan Muslim League
Korangi,Korangi Karachi-3,NA-241,Moazzam Ali Qureshi,Pakistan Peoples Party Parlimentarians
Korangi,Korangi Karachi-3,NA-241,Muhammad Danish Khan,Pak Sarzameen Party
Korangi,Korangi Karachi-3,NA-241,Muhammad Zahid Awan,Pakistan Muslim Alliance
Korangi,Korangi Karachi-3,NA-241,Muhammad Shahid,Mohajir Qaumi Movement Pakistan
Korangi,Korangi Karachi-3,NA-241,Muhammad Furqan,Pakistan Rah-e-Haq Party
Korangi,Korangi Karachi-3,NA-241,Muhammad Moin Aamer Pirzada,Muttahida Qaumi Movement Pakistan
Korangi,Korangi Karachi-3,NA-241,Nusrat Aqeel,Jamiat Ulama-e-Pakistan (Noorani)
Karachi East,Karachi East-1,NA-242,Asadullah Bhutto,Mutthida Majlis-e-Amal Pakistan
Karachi East,Karachi East-1,NA-242,Bedal Masroor Badvi,Sindh United Party
Karachi East,Karachi East-1,NA-242,Pir Umar Ud Din Zaffar,Independent
Karachi East,Karachi East-1,NA-242,Hassan Sabir,Pak Sarzameen Party
Karachi East,Karachi East-1,NA-242,Zohaib Umar Laghari,Independent
Karachi East,Karachi East-1,NA-242,Syed Abdul Bari,Independent
Karachi East,Karachi East-1,NA-242,Syed Muhammad Waqas Hashmi,Tehreek Labbaik pakistan
Karachi East,Karachi East-1,NA-242,Saif Ur Rehman,Pakistan Tehreek-e-Insaaf
Karachi East,Karachi East-1,NA-242,Sharafat Khan,Pakistan Muslim League(N)
Karachi East,Karachi East-1,NA-242,Abdul Ghani,Independent
Karachi East,Karachi East-1,NA-242,Kiran Zehra Kazmi,Aman Taraqqi Party
Karachi East,Karachi East-1,NA-242,Kishwar Zehra,Muttahida Qaumi Movement Pakistan
Karachi East,Karachi East-1,NA-242,Muhammad Asghar Ali,Pakistan Muslim Alliance
Karachi East,Karachi East-1,NA-242,Muhammad Iqbal,Pakistan Peoples Party Parlimentarians
Karachi East,Karachi East-1,NA-242,Muzamil Iqbal Hashmi,Allah-o-Akbar Tehreek
Karachi East,Karachi East-1,NA-242,Manzoor Ahmed,Pakistan Kissan Ittehad(Ch. Anwar)
Karachi East,Karachi East-1,NA-242,Noorullah Wald Abdul Hameedullah Khan,Pashtoonkhuwa Milli Awami Party
Karachi East,Karachi East-1,NA-242,Norullah Wald Abdul Kabir,Awami National Party
Karachi East,Karachi East-1,NA-242,Noor Muhammad,Independent
Karachi ,Karachi East-II,NA-243,Anwaar Ahmed Farouqi,Peoples Movement of Pakistan (PMP)
Karachi ,Karachi East-II,NA-243,Khawaja Izhar UL Hassan,Independent
Karachi ,Karachi East-II,NA-243,Syed Asif Raza,Independent
Karachi ,Karachi East-II,NA-243,Syed Ali Raza,Muttahida Qaumi Movement Pakistan
Karachi ,Karachi East-II,NA-243,Syed kamran Ali Rizvi,Mohajir Qaumi Movement Pakistan
Karachi ,Karachi East-II,NA-243,Syed Nawaz ul Huda,Tehreek labbaik pakistan
Karachi ,Karachi East-II,NA-243,Syeda Shehla Raza,Pakistan Peoples Party Parliamentarians
Karachi ,Karachi East-II,NA-243,Shahjahan,Pakistan Muslim League (N)
Karachi ,Karachi East-II,NA-243,Abdul Wahab,Pakistan Justice & Democratic Party
Karachi ,Karachi East-II,NA-243,Imran Ahmed Khan Niazi,Pakistan Tehreek-e-Insaf
Karachi ,Karachi East-II,NA-243,Muhammad Usama Razi Khan,Muttahida majlis-e-Amal Pakistan
Karachi ,Karachi East-II,NA-243,Muhammad Ayaz,Independent
Karachi ,Karachi East-II,NA-243,Muhammad Kamran Khan,Independent
Karachi ,Karachi East-II,NA-243,Muhammad Muzammil Qureshi,Pak Sarzameen Party
Karachi ,Karachi East-II,NA-243,Muzammil Iqbal Hashmi,Allah-o-Akber Tehreek
Karachi ,Karachi East-III,NA-244,Amjid Ali Asif,Independent
Karachi ,Karachi East-III,NA-244,H.M.Hanif,Independent
Karachi ,Karachi East-III,NA-244,tabish Hussain,Grand Democratic Alliance
Karachi ,Karachi East-III,NA-244,zahid saeed,Mutthida majlis-e-Amal Pakistan
Karachi ,Karachi East-III,NA-244,S.Akhtar hussain Shah bukhari,Mohajir Qaumi Movement Pakistan
Karachi ,Karachi East-III,NA-244,Syed Ali Haider Zaidi,Pakistan Tehreek-e-Insaf
Karachi ,Karachi East-III,NA-244,Saif Ud din,Independent
Karachi ,Karachi East-III,NA-244,Shazia razzaq Khan ,Awami National Party
Karachi ,Karachi East-III,NA-244,Shokat,Independent
Karachi ,Karachi East-III,NA-244,sabir hussain,Independent
Karachi ,Karachi East-III,NA-244,Muhammad Zubair Khan,Pakistan Awami raj
Karachi ,Karachi East-III,NA-244,Muhammad Saeed Shafiq ,Pak Sarzameen Party
Karachi ,Karachi East-III,NA-244,Muhammad Tariq ,Independent
Karachi ,Karachi East-III,NA-244,Muhammad Abdul Rauf siddiqui,Mohajir Qaumi Movement Pakistan
Karachi ,Karachi East-III,NA-244,Muhammad Ali atara,Independent
Karachi ,Karachi East-III,NA-244,Muhammad Imran Kashif,Independent
Karachi ,Karachi East-III,NA-244,Mudassir Iqbal,Allah-o-Akber Tehreek
Karachi ,Karachi East-III,NA-244,miftab Ismail Ahmed,Pakistan Muslim League (N)
Karachi ,Karachi East-III,NA-244,Nasir Khan,All Pakistan Muslim League 
Karachi ,Karachi East-III,NA-244,Nomi bashir,Independent
Karachi ,Karachi East-III,NA-244,Mian waqar Akhtar paganwala,Pakistan Peoples Party Parliamentarians
Karachi ,Karachi East-III,NA-244,Yasha Ullah khan Afghan,Tehreek labbaik pakistan
Karachi ,Karachi East-IV,NA-245,Arshad Ali,Independent
Karachi ,Karachi East-IV,NA-245,Sameena Huma Meer,Awami National Party
Karachi ,Karachi East-IV,NA-245,Khuwaja tariq nazeer,Pakistan Muslim League (N)
Karachi ,Karachi East-IV,NA-245,Zulfiqar Ali kaim khani,Independent
Karachi ,Karachi East-IV,NA-245,Saleem sachwani,Independent
Karachi ,Karachi East-IV,NA-245,Saif Ud din,Mutthida majlis-e-Amal Pakistan
Karachi ,Karachi East-IV,NA-245,Sagheer Ahmed,Pak Sarzameen Party
Karachi ,Karachi East-IV,NA-245,Aamir Hussain,Pakistan Tehreek-e-Insaf
Karachi ,Karachi East-IV,NA-245,Abdul Anis Khan,Independent
Karachi ,Karachi East-IV,NA-245,Abdul Khursheed Khan,Independent
Karachi ,Karachi East-IV,NA-245,Farooq Niaz Tanoli,Pakistan Peoples Party Parliamentarians
Karachi ,Karachi East-IV,NA-245,Muhammad Ahmed Raza,Tehreek labbaik pakistan
Karachi ,Karachi East-IV,NA-245,Muhammad Jamil,Independent
Karachi ,Karachi East-IV,NA-245,Muhammad Shafiq Ahmed,Mohajir Qaumi Movement Pakistan
Karachi ,Karachi East-IV,NA-245,Muhammad Farooq Sattar,Muttahida Qaumi Movement Pakistan
Karachi ,Karachi South-I,NA-246,Amjid Khan,Independent
Karachi ,Karachi South-I,NA-246,Ijaz ahmed,Pak Sarzameen Party
Karachi ,Karachi South-I,NA-246,Ahmed,Tehreek labbaik pakistan
Karachi ,Karachi South-I,NA-246,Umm-e-KALSOOM,Independent
Karachi ,Karachi South-I,NA-246,Bilawal Bhutto Zardari,Pakistan Peoples Party Parliamentarians
Karachi ,Karachi South-I,NA-246,jawad Ahmed,Barabri party pakistan
Karachi ,Karachi South-I,NA-246,Hazrat Gul,Awami National Party
Karachi ,Karachi South-I,NA-246,Saleem Zia,Pakistan Muslim League (N)
Karachi ,Karachi South-I,NA-246,Abid,Independent
Karachi ,Karachi South-I,NA-246,Abdul Shakoor Shad,Pakistan Tehreek-e-Insaf
Karachi ,Karachi South-I,NA-246,Gulam Muhammad samoo,Independent
Karachi ,Karachi South-I,NA-246,Muhammad Irshad,Independent
Karachi ,Karachi South-I,NA-246,Muhammad Anwar,Pakistan Justice & Democratic Party
Karachi ,Karachi South-I,NA-246,Muhammad arshad,Grand Democratic Alliance
Karachi ,Karachi South-I,NA-246,Mahfooz Yar Khan,Muttahida Qaumi Movement Pakistan
Karachi ,Karachi South-I,NA-246,Mollana noor-ul-haq,Muttahida majlis-e-Amal Pakistan
Karachi ,Karachi South-II,NA-247,Afan ullah khan,Pakistan Muslim League (N)
Karachi ,Karachi South-II,NA-247,aftab hussain lakho,Independent
Karachi ,Karachi South-II,NA-247,jawed iqbal khan,Mohajir Qaumi Movement Pakistan
Karachi ,Karachi South-II,NA-247,deedar ali,Independent
Karachi ,Karachi South-II,NA-247,raj kumar,Independent
Karachi ,Karachi South-II,NA-247,syed zaman ali jafri,Tehreek labbaik pakistan
Karachi ,Karachi South-II,NA-247,syed mansoob hussan,Independent
Karachi ,Karachi South-II,NA-247,arif ur rehmen,Pakistan Tehreek-e-Insaf
Karachi ,Karachi South-II,NA-247,abdul habib,Independent
Karachi ,Karachi South-II,NA-247,ali nawab,Independent
Karachi ,Karachi South-II,NA-247,abdul aziz,Pakistan Sunni Tehreek
Karachi ,Karachi South-II,NA-247,abdul wahab,Pakistan Peoples Party Parliamentarians
Karachi ,Karachi South-II,NA-247,ghazi ali,Grand Democratic Alliance
Karachi ,Karachi South-II,NA-247,fauzia akeel,Independent
Karachi ,Karachi South-II,NA-247,fauzia kausar,Pak Sarzameen Party
Karachi ,Karachi South-II,NA-247,Muhammad jibran nasir,Independent
Karachi ,Karachi South-II,NA-247,Muhammad hussain,Muttahida majlis-e-Amal Pakistan
Karachi ,Karachi South-II,NA-247, Muhammad farooq sattar,Muttahida Qaumi Movement Pakistan
Karachi ,Karachi South-II,NA-247,mati ur rehman,Independent
Karachi ,Karachi South-II,NA-247,nadir khan,Independent
Karachi ,Karachi South-II,NA-247,nasreen jalill,Independent
Karachi ,Karachi West-I,NA-248,naeem ud din,Tehreek labbaik pakistan
Karachi ,Karachi West-I,NA-248,asghar mehmood ,Muttahida Qaumi Movement Pakistan
Karachi ,Karachi West-I,NA-248,afsan qamar,Independent
Karachi ,Karachi West-I,NA-248,bashir ahmed ,Pakistan Rah-e-haq Party
Karachi ,Karachi West-I,NA-248,hafiz aurangzaib,Independent
Karachi ,Karachi West-I,NA-248,subhan ali,Pakistan Tehreek-e-Insaf
Karachi ,Karachi West-I,NA-248,sardar aziz,Pakistan Peoples Party Parliamentarians
Karachi ,Karachi West-I,NA-248,abdul qadir ,Independent
Karachi ,Karachi West-I,NA-248,abdul majeed,Muttahida majlis-e-Amal Pakistan
Karachi ,Karachi West-I,NA-248,gul Muhammad afridi,Pakistan Muslim League (N)
Karachi ,Karachi West-I,NA-248,Muhammad salman khan,Pakistann Muslim League (sher-e-bangal)
Karachi ,Karachi West-I,NA-248,Muhammad alaudin ,Pak Sarzameen Party
Karachi ,Karachi West-II,NA-249,Muhammad yousuf,Muttahida Qaumi Movement Pakistan
Karachi ,Karachi West-II,NA-249,aslam shah,Pashtoonkhwa Milli Awami party
Karachi ,Karachi West-II,NA-249,haji muhammad ,Independent
Karachi ,Karachi West-II,NA-249,hafiz Muhammad mursaleen,Pakistan Muslim Alliance
Karachi ,Karachi West-II,NA-249,Hazrat umar,Muttahida majlis-e-Amal Pakistan
Karachi ,Karachi West-II,NA-249,syed atta ullah shah,Tehreek labbaik pakistan
Karachi ,Karachi West-II,NA-249,abid hussain,Grand Democratic Alliance
Karachi ,Karachi West-II,NA-249,abdul sattar,Independent
Karachi ,Karachi West-II,NA-249,abdul qayyum,Independent
Karachi ,Karachi West-II,NA-249,ali akbar,pak Sarzameen Party
Karachi ,Karachi West-II,NA-249,fauzia hameed,Pakistan Peoples Party Parliamentarians
Karachi ,Karachi West-II,NA-249,qadir khan,Independent
Karachi ,Karachi West-II,NA-249,kamran akhther,Independent
Karachi ,Karachi West-II,NA-249, Muhammad salman khan,Pakistan Tehreek-e-Insaf
Karachi ,Karachi West-II,NA-249,Muhammad faisal,Pakistan Muslim League (N)
Karachi ,Karachi West-III,NA-250,Mian Muhammad shahbaz shareef,Independent
Karachi ,Karachi West-III,NA-250,aslam shah,Pak Sarzameen Party
Karachi ,Karachi West-III,NA-250,syed hafiz udin,Independent
Karachi ,Karachi West-III,NA-250,syed shah nawaz,Tehreek labbaik pakistan
Karachi ,Karachi West-III,NA-250,syed kashif ali,Awami National Party
Karachi ,Karachi West-III,NA-250,shahi syed,Pakistan Tehreek-e-Insaf
Karachi ,Karachi West-III,NA-250,atta ullah,Allah-o-Akber Tehreek
Karachi ,Karachi West-III,NA-250,ali ahmed,Pakistan Peoples Party Parliamentarians
Karachi ,Karachi West-III,NA-250,fayaz kaim khani,Muttahida Qaumi Movement Pakistan
Karachi ,Karachi West-III,NA-250,Muhammad ishaq,Mohajir Qaumi Movement Pakistan
Karachi ,Karachi West-III,NA-250,Muhammad ashraf,Independent
Karachi ,Karachi West-III,NA-250,mehmood khan,Pashtoonkhwa Milli Awami party
Karachi ,Karachi West-III,NA-250,naeem ,Muttahida majlis-e-Amal Pakistan
Karachi ,Karachi West-IV,NA-251,aslam shah,Allah-o-Akber Tehreek
Karachi ,Karachi West-IV,NA-251,syed hafiz uddin,Independent
Karachi ,Karachi West-IV,NA-251,ziarat khan,Independent
Karachi ,Karachi West-IV,NA-251,sohail khan,All Pakistan Muslim League 
Karachi ,Karachi West-IV,NA-251,syed ameen ul haq,Muttahida Qaumi Movement Pakistan
Karachi ,Karachi West-IV,NA-251,syed shahid iqbal,Independent
Karachi ,Karachi West-IV,NA-251,fahad shafiq,Pakistan Muslim League (N)
Karachi ,Karachi West-IV,NA-251,Muhammad  aslam,Pakistan Tehreek-e-Insaf
Karachi ,Karachi West-IV,NA-251, Muhammad  jameel zia,Pakistan Peoples Party Parliamentarians
Karachi ,Karachi West-IV,NA-251, Muhammad  laeeque khan,muttahida majlis-e-Amal Pakistan
Karachi ,Karachi West-IV,NA-251, Muhammad  mumtaz,Tehreek labbaik pakistan
Karachi ,Karachi West-IV,NA-251,Muhammad nihal malik,Pak Sarzameen Party
Karachi ,Karachi West-IV,NA-251,naeem ullah,Pakistan Muslim Alliance
Karachi ,Karachi West-V,NA-252,Aftkhar Akbar Randhawa,Pak Sarzameen Party
